"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"PITPNM2",7.23863944852907e-39,-0.235874809011135,0.225,0.172,1.74690085811352e-34,"PITPNM2"
"FUS",7.32346475910393e-39,-0.476545167061466,0.894,0.841,1.76737175031455e-34,"FUS"
"GLRX3",7.33352054118944e-39,-0.0386662202725602,0.294,0.179,1.76979851220525e-34,"GLRX3"
"ARHGAP5",7.48255940521312e-39,-0.409956690939018,0.246,0.253,1.80576606126008e-34,"ARHGAP5"
"IFNGR1",7.64785910720994e-39,0.14918058916542,0.298,0.13,1.84565783834298e-34,"IFNGR1"
"ARHGAP30",7.72555926138653e-39,0.0797364704992325,0.462,0.278,1.86440921655041e-34,"ARHGAP30"
"PFKL",7.78154542868756e-39,0.0371528266397394,0.519,0.347,1.87792035830517e-34,"PFKL"
"SLC37A1",7.86173779110512e-39,0.19288129764229,0.199,0.049,1.8972731811274e-34,"SLC37A1"
"PBX3",7.86595002754736e-39,-0.419434155623785,0.206,0.227,1.898289720148e-34,"PBX3"
"FIS1",8.00304685192975e-39,-0.0995516574901252,0.48,0.369,1.93137529677621e-34,"FIS1"
"SPAG9",8.78830558375299e-39,-0.00588217333212726,0.4,0.242,2.12088178652711e-34,"SPAG9"
"SIDT2",8.99115374034262e-39,-0.0151575751546292,0.391,0.247,2.16983513215688e-34,"SIDT2"
"CLASP2",9.02344131588823e-39,-0.26237554878673,0.224,0.178,2.17762709276331e-34,"CLASP2"
"HAT1",9.09176171423848e-39,0.00181266758155429,0.328,0.189,2.19411485449717e-34,"HAT1"
"SH3KBP1",9.10849036419226e-39,-0.0257576263640651,0.365,0.229,2.19815197959052e-34,"SH3KBP1"
"GPSM3",9.19723207300375e-39,0.213573426812923,0.683,0.46,2.219568016178e-34,"GPSM3"
"FAM53B",9.26374600133735e-39,-0.0234828796443423,0.316,0.185,2.23561982250274e-34,"FAM53B"
"PA2G4",9.55793375286311e-39,0.0909095058275651,0.508,0.32,2.30661615257845e-34,"PA2G4"
"TMEM70",1.00632598818519e-38,0.188746229118352,0.308,0.129,2.42856650728733e-34,"TMEM70"
"RCE1",1.00941925655849e-38,0.075792551456086,0.2,0.075,2.43603149185261e-34,"RCE1"
"KIAA0100",1.01443935367602e-38,-0.147024437844692,0.199,0.127,2.44814649222634e-34,"KIAA0100"
"RAP1GDS1",1.02291038615796e-38,-0.375453514859704,0.213,0.219,2.468589634915e-34,"RAP1GDS1"
"OSBPL10",1.03655678208776e-38,-0.292699990080409,0.217,0.181,2.50152248221239e-34,"OSBPL10"
"POLK",1.0369854753698e-38,-0.288171683661217,0.272,0.226,2.50255704770994e-34,"POLK"
"TRAPPC4",1.0626279467113e-38,0.189870332281947,0.328,0.144,2.56444002379839e-34,"TRAPPC4"
"TLN1",1.11791391592769e-38,-0.0483274577879456,0.432,0.297,2.69786165330829e-34,"TLN1"
"TGS1",1.13767314738818e-38,0.0365200103183474,0.404,0.245,2.74554660659189e-34,"TGS1"
