"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
"AKR1A1",1.38075437071041e-20,-0.266146671145798,0.421,0.377,3.33217452283543e-16,"AKR1A1"
"PFKL",1.38877450918477e-20,0.0511148400851299,0.511,0.325,3.3515295230156e-16,"PFKL"
"TRAM2",1.40916565901668e-20,-0.240169576454392,0.235,0.192,3.40073948490495e-16,"TRAM2"
"AMZ2",1.42061096795724e-20,0.107492595169357,0.355,0.18,3.4283604489712e-16,"AMZ2"
"LSM12",1.43047168864839e-20,0.194726319229035,0.312,0.126,3.45215732621517e-16,"LSM12"
"PRKX",1.43367418162165e-20,0.164694592650831,0.282,0.113,3.45988590250754e-16,"PRKX"
"HMGXB3",1.4629817005654e-20,-0.0386253810547973,0.212,0.109,3.53061373797448e-16,"HMGXB3"
"MGST3",1.46867175058559e-20,0.239979438303378,0.408,0.195,3.5443455356882e-16,"MGST3"
"QSOX2",1.46902116615855e-20,-0.0486839914772561,0.2,0.099,3.54518878029042e-16,"QSOX2"
"TMEM147",1.47608970339672e-20,-0.111638780861408,0.306,0.217,3.5622472812073e-16,"TMEM147"
"NMD3",1.49507822471027e-20,0.179745719152325,0.311,0.126,3.60807227969329e-16,"NMD3"
"MIA3",1.50617805669518e-20,0.0671183525820603,0.404,0.225,3.63485950422247e-16,"MIA3"
"VTI1A",1.56665976670494e-20,-0.174954467520672,0.321,0.233,3.78082001498902e-16,"VTI1A"
"ZNF91",1.58520928051962e-20,-0.242986559580747,0.365,0.283,3.82558555667801e-16,"ZNF91"
"N4BP1",1.58555366981645e-20,0.0265073845657471,0.2,0.081,3.82641667136804e-16,"N4BP1"
"DEF6",1.60182912350559e-20,-0.379782836849433,0.321,0.326,3.86569422375603e-16,"DEF6"
"LILRB1",1.61113250073317e-20,-0.631565827186486,0.199,0.318,3.88814606401935e-16,"LILRB1"
"NKIRAS2",1.62323427365496e-20,0.167828141281526,0.278,0.103,3.91735127261152e-16,"NKIRAS2"
"HNRNPU",1.62601678903013e-20,0.0693725587199894,0.865,0.667,3.92406631696642e-16,"HNRNPU"
"C9orf16",1.63020251673562e-20,-0.062044126758295,0.597,0.449,3.93416773363807e-16,"C9orf16"
"HPS4",1.6386852083438e-20,-0.332928650585586,0.273,0.24,3.95463901329609e-16,"HPS4"
"IGBP1",1.6410663558602e-20,0.109574367895158,0.573,0.374,3.96038543659742e-16,"IGBP1"
"LRCH3",1.65908718859385e-20,-0.1433732529184,0.335,0.23,4.00387511223355e-16,"LRCH3"
"ACP5",1.67692582500973e-20,0.436591930973282,0.718,0.467,4.04692509349599e-16,"ACP5"
"ANKFY1",1.67722078585747e-20,-0.0666363285700133,0.2,0.106,4.04763692250984e-16,"ANKFY1"
"CHD8",1.6787460708933e-20,-0.117146988421771,0.381,0.263,4.05131789288681e-16,"CHD8"
"DCAF10",1.76300152010143e-20,0.020249939902417,0.245,0.113,4.25465156846077e-16,"DCAF10"
"FGFR1OP",1.77778756606168e-20,0.0275585456821598,0.241,0.109,4.29033473317666e-16,"FGFR1OP"
"UFSP2",1.78931680587988e-20,0.195570593710423,0.295,0.113,4.31815824762992e-16,"UFSP2"
"C1orf35",1.81376660795152e-20,0.0911994481460353,0.292,0.131,4.3771629549694e-16,"C1orf35"
"UBL7",1.8733038199855e-20,-0.0735547144644741,0.365,0.258,4.52084410877101e-16,"UBL7"
"MAN1A2",1.88963230263772e-20,-0.129496090880357,0.281,0.195,4.56024963595562e-16,"MAN1A2"
"USP33",1.89602224776371e-20,-0.0467054549302143,0.361,0.225,4.57567049052817e-16,"USP33"
"RPL23A",1.96268700844429e-20,0.19781359511084,0.985,0.897,4.73655255747861e-16,"RPL23A"
"DGUOK",1.96697323118327e-20,0.0986311520944193,0.435,0.257,4.74689649881459e-16,"DGUOK"
"ARPC2",1.97410399241821e-20,0.205677732870318,0.948,0.778,4.76410516490287e-16,"ARPC2"
"NSF",1.98595484018276e-20,-0.252599735299235,0.269,0.228,4.79270481581307e-16,"NSF"
"ZNF146",2.00697540363696e-20,0.209417128070124,0.298,0.114,4.84343374159709e-16,"ZNF146"
"KDM2A",2.02984275369767e-20,-0.217083393055961,0.395,0.298,4.89861951749858e-16,"KDM2A"
"PLEKHJ1",2.0783895558277e-20,-0.0392029004999961,0.434,0.295,5.01577751507898e-16,"PLEKHJ1"
"ATP2B1-AS1",2.08845918783319e-20,-0.617972660839284,0.161,0.283,5.04007855799785e-16,"ATP2B1-AS1"
"VPS18",2.10566657578875e-20,0.117641445788586,0.214,0.075,5.08160514735099e-16,"VPS18"
"ZKSCAN1",2.11223178812753e-20,-0.0417380326677693,0.332,0.2,5.09744897428817e-16,"ZKSCAN1"
"KDM5C",2.12344322415433e-20,-0.073062920983625,0.286,0.171,5.12450553285163e-16,"KDM5C"
"USP24",2.13389668446554e-20,-0.14982861596036,0.224,0.154,5.14973286862069e-16,"USP24"
"PSMA3-AS1",2.14307685837329e-20,-0.490527065022104,0.343,0.353,5.17188738231227e-16,"PSMA3-AS1"
"MRPL9",2.16189674759838e-20,-0.0359096513837092,0.318,0.189,5.21730542097917e-16,"MRPL9"
